tweeted,feed_date,feed_weekday,archive_url,title,mp3_url,synopsis,broadcast_date,physical_format,duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url,mp3_path,feed_url
x,2021-01-19,3,/programs/noam-chomsky-discusses-his-book-american-power-and-new-mandarins,"Noam Chomsky discusses his book ""American Power and the New Mandarins""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F55706.mp3,"Noam Chomsky discusses his book ""American Power and the New Mandarins,"" the Vietnam war, and the role of intellectuals, including interview with A.J. Muste; audio is slowed down from 47:30 - 52:52.","Jan. 19, 1970","1 sound tape reel (ca. 52 min.) : 7 in. Original program-T2370A., 1 sound tape reel (ca. 52 min.) : 10 1/2 in. Copy-T3217C.","52 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1970-01-19,1970.0,1.0,19.0,True,mp3/55706.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/55706.mp3
x,2021-01-22,6,/programs/discussing-book-story-jane-legendary-feminist-abortion-service-author-and-former-member,"Discussing the book ""The Story of Jane: The Legendary Feminist Abortion Service""  with the author and former member of Jane, Laura Kaplan",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F37043.mp3,,"Jan. 22, 1996",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"49 minutes, 35 seconds",WAV,The Chicago History Museum,English,,1996-01-22,1996.0,1.0,22.0,True,mp3/37043.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/37043.mp3
x,2021-01-25,2,/programs/terkel-comments-and-presents-musical-performance-buck-clayton,Terkel comments and presents musical performance of Buck Clayton,https://s3.amazonaws.com/wfmt-studs-terkel/published/19604.mp3,"Musical performance of Buck Clayton, includes interview by Studs Terkel.","Jan. 25, 1978",1 sound tape reel (ca. 55.48 min.) : 10 1/2 in.,"27 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1978-01-25,1978.0,1.0,25.0,True,mp3/19604.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/19604.mp3
x,2021-01-27,4,/programs/arthur-charles-clarke-discusses-science-fiction,Arthur Charles Clarke discusses science fiction,https://s3.amazonaws.com/wfmt-studs-terkel/published/6905.mp3,"Arthur Charles Clarke discusses science fiction and his books ""Childhood's End"", ""Prelude to Space"", and ""the Deep Range"".","Jan. 27, 1959",1 sound tape reel (ca. 20 min.) : 7 in.,"21 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1959-01-27,1959.0,1.0,27.0,True,mp3/6905.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/6905.mp3
x,2021-01-29,6,/programs/norman-mailer-discusses-meaning-and-future-space-exploration,Norman Mailer discusses the meaning and future of space exploration,https://s3.amazonaws.com/wfmt-studs-terkel/published/10734.mp3,"Norman Mailer discusses how recent trips to the moon fit into the American consciousness, technology and machines in modern life, individuality, and the future of space exploration. Studs and Mailer read excerpts from ""Fire on the Moon.""","Jan. 29, 1971",1 sound tape reel (ca. 40 min.) : 10 1/2 in. Copy-T2807.,"43 minutes, 37 seconds",WAV,The Chicago History Museum,English,,1971-01-29,1971.0,1.0,29.0,True,mp3/10734.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10734.mp3
x,2021-02-01,2,/programs/james-earl-jones-discusses-play-othello,"James Earl Jones discusses the play ""Othello""",https://s3.amazonaws.com/wfmt-studs-terkel/published/9802.mp3,"Jones discusses the play ""Othello"" where he plays the  lead character Othello. ","Feb. 1, 1968",1 sound tape reel (ca. 50 min.) : 7 in.,"49 minutes, 25 seconds",WAV,The Chicago History Museum,English,,1968-02-01,1968.0,2.0,1.0,True,mp3/9802.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/9802.mp3
x,2021-02-04,5,/programs/jonathan-katz-discusses-his-book-gay-american-history,"Jonathan Katz discusses his book ""Gay American History""",https://s3.amazonaws.com/wfmt-studs-terkel/published/9901.mp3,"Discussing the book, ""Gay American History: Lesbians and Gay Men in the U.S.A.: A Documentary,"" and interviewing its author, Jonathan Katz.","Feb. 4, 1977",1 sound tape reel (ca. 51 min.) : 10 1/2 in.,"51 minutes, 10 seconds",WAV,The Chicago History Museum,English,,1977-02-04,1977.0,2.0,4.0,True,mp3/9901.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/9901.mp3
x,2021-02-06,7,/programs/dorothy-parker-discusses-her-plays-and-state-literature,Dorothy Parker discusses her plays and the state of literature,https://wfmt-studs-terkel.s3.amazonaws.com/published/56105.mp3,Dorothy Parker’s thoughts as a critic and writer on the state of American literature.,"Feb. 6, 1959",1 sound tape reel (ca. 19.30 min.) : 7 in.,"20 minutes, 4 seconds",WAV,The Chicago History Museum,English,Joe Gratz & Dinah Sanders,1959-02-06,1959.0,2.0,6.0,True,mp3/56105.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56105.mp3
x,2021-02-08,2,/programs/neil-postman-discusses-book-school-book-people-who-want-know-what-all-hollering-about,"Neil Postman discusses the book, ""The School Book: For People Who Want to Know What All the Hollering Is About,"".",https://s3.amazonaws.com/wfmt-studs-terkel/published/11909.mp3,"Neil Postman, an author, educator, media theorist and cultural critic discusses his book;  ""The School Book: For People Who Want to Know What All the Hollering Is About,"".  Mr Postman and Studs talk about his definition of what school is for and it's worth, and they converse about several sections of the book.  
Mr. Postman reads an excerpt from his book to begin the interview.","Feb. 8, 1974",1 sound tape reel (ca. 55.36 min.) : 10 1/2 in.,"55 minutes, 45 seconds",WAV,The Chicago History Museum,English,,1974-02-08,1974.0,2.0,8.0,True,mp3/11909.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/11909.mp3
x,2021-02-12,6,/programs/martin-scorsese-and-screenwriter-paul-schrader-discuss-their-movie-taxi-driver,"Martin Scorsese and screenwriter Paul Schrader discuss their movie “Taxi Driver""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56443.mp3,"Film director Martin Scorsese and screenwriter Paul Schrader discuss their movie “Taxi Driver,” including interview from 9:04 - 9:49 of Scorsese discussing the character, Johnny Boy, from his film ""Mean Streets.""","Feb. 12, 1976",1 sound tape reel (ca. 53.45 min.) : 10 1/2 in.,"49 minutes, 26 seconds",WAV,The Chicago History Museum,English,,1976-02-12,1976.0,2.0,12.0,True,mp3/56443.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56443.mp3
x,2021-02-13,7,/programs/calvin-trillin-discusses-his-book-killings,Calvin Trillin discusses his book “Killings”,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56049.mp3,Writer Calvin Trillin discusses his book “Killings” and the murder cases included in the book. Trillin also reads a poem written by one of the victims.,"Feb. 13, 1984",1 sound tape reel (ca. 54.17 min.) : 10 1/2 in. Edited copy-T3199.300.,"54 minutes, 28 seconds",WAV,The Chicago History Museum,English,,1984-02-13,1984.0,2.0,13.0,True,mp3/56049.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56049.mp3
x,2021-02-17,4,/programs/alger-hiss-talks-studs-terkel,Alger Hiss talks with Studs Terkel,https://s3.amazonaws.com/wfmt-studs-terkel/published/9013.mp3,,"Feb. 17, 1973",1 sound tape reel (ca. 56 min.) : 10 1/2 in.,"55 minutes, 33 seconds",WAV,The Chicago History Museum,English,,1973-02-17,1973.0,2.0,17.0,True,mp3/9013.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/9013.mp3
x,2021-02-20,7,/programs/presenting-music-and-discussing-tuba-tubists-arnold-jacobs-harvey-phillips-fritz-kaenzig,"Presenting music and discussing the tuba with tubists Arnold Jacobs, Harvey Phillips, Fritz Kaenzig, and Richard Frazier",https://wfmt-studs-terkel.s3.amazonaws.com/published/56709.mp3,"Presenting music and discussing the tuba with tubists Arnold Jacobs, Harvey Phillips, Fritz Kaenzig, and Richard Frazier. This mixdown includes recorded and live music in the last three minutes.","Feb. 20, 1987",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"28 minutes, 16 seconds",WAV,The Chicago History Museum,English,,1987-02-20,1987.0,2.0,20.0,True,mp3/56709.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56709.mp3
x,2021-02-23,3,/programs/discussing-book-always-running-la-vida-loca-gang-days-l-awith-author-poet-luis-j-rodriguez,"Discussing the book ""Always Running: La Vida Loca, Gang Days in L. A.""with the author, poet Luis J. Rodriguez and his son Ramiro Rodriguez",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38033.mp3,,"Feb. 24, 1993",,"51 minutes, 48 seconds",,,,,1993-02-24,1993.0,2.0,24.0,True,mp3/38033.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/38033.mp3
x,2021-02-27,7,/programs/licia-albanese-discusses-her-opera-performances,Licia Albanese discusses her opera performances,https://wfmt-studs-terkel.s3.amazonaws.com/published/56817.mp3,"Licia Albanese discusses her performance preparations, advice to young new opera singers, the conductor techniques from Fausto Cleva, and the late Arturo Toscanini. ","Feb. 27, 1960",1 sound tape reel (ca. 56.38 min.) : 10 1/2 in.,"39 minutes, 3 seconds",WAV,The Chicago History Museum,English,,1960-02-27,1960.0,2.0,27.0,True,mp3/56817.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56817.mp3
x,2021-03-01,2,/programs/edward-keating-discusses-magazine-ramparts,Edward Keating discusses the magazine Ramparts,https://s3.amazonaws.com/wfmt-studs-terkel/published/9924.mp3,"Discussing the philosophy of ""Ramparts"" and interviewing Edward Keating.","Mar. 1, 1967",1 sound tape reel (ca. 51 min.) : 7 in.,"50 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1967-03-01,1967.0,3.0,1.0,True,mp3/9924.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/9924.mp3
x,2021-03-03,4,/programs/senator-eugene-mccarthy-talks-about-his-presidential-campaign,Senator Eugene McCarthy talks about his presidential campaign,https://s3.amazonaws.com/wfmt-studs-terkel/published/10916.mp3,Former Minnesota Senator Eugene McCarthy talks about his presidential campaign.  Includes an excerpt of a 1968 program in which Studs and James Cameron visit Lincoln Park after the Chicago Democratic Convention riots.,"Mar. 3, 1975",1 sound tape reel (ca. 51.48 min.) : 10 1/2 in.,"51 minutes, 45 seconds",WAV,The Chicago History Museum,English,,1975-03-03,1975.0,3.0,3.0,True,mp3/10916.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10916.mp3
x,2021-03-08,2,/programs/studs-talks-versatile-actor-singer-performer-danny-kaye,"Studs talks with versatile actor, singer, performer Danny Kaye",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56297.mp3,"Studs talks with versatile actor, singer, performer Danny Kaye who opens up about his worldwide appeal to children and adults alike, relating to children on their terms, his father's influence, the skills and work that go into his crafts, and much more. Kaye reveals his lack of musical training yet details his comic conducting talents ala Victor Borge via his charity work. The conversation continues with talk of his variety show performances, his fondness for Señor Wences, the medium of television, and his knack for dialects. Original broadcast includes recordings of ""The Inch Worm"" from the film ""Hans Christian Andersen,"" ""Mommy, Gimme a Drinka Water,"" ""Tschaikowsky (and Other Russians)"" from ""Lady in the Dark,"" ""Molly Malone,"" ""The Babbitt and the Bromide,"" and ""Dinah"".","Mar. 8, 1963",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"42 minutes, 47 seconds",WAV,The Chicago History Museum,English,James Sherman,1963-03-08,1963.0,3.0,8.0,True,mp3/56297.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56297.mp3
x,2021-03-11,5,/programs/allen-ginsberg-and-william-s-burroughs-talk-about-their-writing,Allen Ginsberg and William S. Burroughs talk about their writing,https://wfmt-studs-terkel.s3.amazonaws.com/published/56450.mp3,"Writers Allen Ginsberg and William S. Burroughs discuss life and their writing; passages from their writing are read by the authors and clip is played of interview with Allen Ginsberg, Gregory Corso, and Peter Orlovsky.","Mar. 11, 1975",1 sound tape reel (ca. 51.15 min.) : 10 1/2 in.,"40 minutes, 10 seconds",WAV,The Chicago History Museum,English,,1975-03-11,1975.0,3.0,11.0,True,mp3/56450.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56450.mp3
x,2021-03-13,7,/programs/maya-angelou-discusses-her-book-i-know-why-caged-bird-sings,"Maya Angelou discusses her book ""I Know Why the Caged Bird Sings""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F34339.mp3,"Angelou discusses her book ""I Know Why the Caged Bird Sings"" and recites ""When I Think About Myself."" She talks about growing up in Stamps, Arkansas, and her family. Copyrighted material has been removed.","Mar. 13, 1970",1 sound tape reel (ca. 54.48 min.) : 10 1/2 in. Copy-T2462.,"47 minutes, 36 seconds",WAV,The Chicago History Museum,English,,1970-03-13,1970.0,3.0,13.0,True,mp3/34339.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/34339.mp3
x,2021-03-14,1,/programs/discussing-book-fear-and-loathing-campaign-trail-72-hunter-s-thompson,"Discussing the book, ""Fear and Loathing: On the Campaign Trail '72."" with Hunter S. Thompson",https://s3.amazonaws.com/wfmt-studs-terkel/published/12838.mp3,"Discussing the book, ""Fear and Loathing: On the Campaign Trail '72.""  Includes a clip of Ron Kovic speaking at the Nixon campaign headquarters, courtesy of KPFA/Pacifica Archives.","Mar. 14, 1973",1 sound tape reel (ca. 52.46 min.) : 10 1/2 in.,"52 minutes, 50 seconds",WAV,The Chicago History Museum,English,,1973-03-14,1973.0,3.0,14.0,True,mp3/12838.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/12838.mp3
x,2021-03-18,5,/programs/ray-bradbury-discusses-his-books,Ray Bradbury discusses his books,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F29625.mp3,,"Mar. 18, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"43 minutes, 32 seconds",WAV,The Chicago History Museum,English,,1992-03-18,1992.0,3.0,18.0,True,mp3/29625.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/29625.mp3
x,2021-03-24,4,/programs/interviewing-former-cia-agent-david-macmichael,Interviewing former CIA agent David MacMichael,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38426.mp3,MacMichael testified in front of the World Court at the Hague in 1985 about the United States government's activities with anti-Sandinista contra forces in Nicaragua and President Reagan's knowledge of such events.,"Mar. 24, 1995",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 38 seconds",WAV,The Chicago History Museum,English,,1995-03-24,1995.0,3.0,24.0,True,mp3/38426.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/38426.mp3
x,2021-03-30,3,/programs/dizzy-gillespie-discusses-art-jazz-part-1,Dizzy Gillespie discusses the art of jazz ; part 1,https://wfmt-studs-terkel.s3.amazonaws.com/published/56918.mp3,"Part 1 of this program begins with Studs Terkel reading an excerpt from the book ""Giants of Jazz"" , which describes Dizzy Gillespie's early life. Gillespie discusses the following: the state of jazz; his fellow musicians; jazz contributors; jazz fundamentals; and his tours abroad. Gillespie's ""Groovin' High"" is played towards the end of this part of the program. ","Mar. 30, 1961",2 sound tape reels (ca. 70 min.) : 7 in.,"10 minutes, 34 seconds",WAV,The Chicago History Museum,English,David Child,1961-03-30,1961.0,3.0,30.0,True,mp3/56918.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56918.mp3
x,2021-03-31,4,/programs/dizzy-gillespie-discusses-art-jazz-part-2,Dizzy Gillespie discusses the art of jazz ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published/56284.mp3,"Part 2 of the program continues with Dizzy Gillespie discovering the following: his jazz style; his interactions with other musicians; and his latin musical influences. The following Gillespie musical excerpts are played: ""Tin Tin Deo""; ""La Lorraine""; and an musical piece (with an undisclosed title) is played to end the program.","Mar. 30, 1961",2 sound tape reels (ca. 70 min.) : 7 in.,"23 minutes, 12 seconds",WAV,The Chicago History Museum,English,David Marks,1961-03-30,1961.0,3.0,30.0,True,mp3/56284.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/56284.mp3
x,2021-04-11,1,/programs/jonathon-kozol-discusses-his-book-free-schools-and-education,"Jonathon Kozol discusses his book ""Free schools"" and education",https://s3.amazonaws.com/wfmt-studs-terkel/published/10207.mp3,"Discussing the book, ""Free schools,"" and interviewing the author Jonathan Kozol. Jonathon Kozol also discusses education. Includes interview clip of Kermit Eby.","Apr. 11, 1972",1 sound tape reel (ca. 56 min.) : 10 1/2 in.,"55 minutes, 58 seconds",WAV,The Chicago History Museum,English,,1972-04-11,1972.0,4.0,11.0,True,mp3/10207.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/10207.mp3
x,2021-04-16,6,/programs/dolores-huerta-discusses-workers-rights,Dolores Huerta discusses workers' rights,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F59727.mp3,"Activist Dolores Huerta of United Farm Workers discusses farm laborers and immigrant rights; includes excerpt of Cesar Chavez, excerpt from Viva La Causa, and interview with Roberto Acuna.","Apr. 16, 1975",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"49 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1975-04-16,1975.0,4.0,16.0,True,mp3/59727.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/59727.mp3
x,2021-04-21,4,/programs/discussing-south-africa-south-african-expatriates-reverend-theodore-and-helen-koetze,"Discussing South Africa with South African expatriates, Reverend Theodore and Helen Koetze",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F39911.mp3,,"Apr. 21, 1980",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 48 seconds",WAV,The Chicago History Museum,English,,1980-04-21,1980.0,4.0,21.0,True,mp3/39911.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/39911.mp3
x,2021-04-25,1,/programs/discussing-film-harold-hayden-pauline-kael-arthur-knight-jerry-teminer-and-parker-tyler,"Discussing film with Harold Hayden, Pauline Kael, Arthur Knight, Jerry Teminer and Parker Tyler",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40501.mp3,,"Apr. 25, 1963",1 sound tape reel (ca. 70 min.) : 10 1/2 in.,"1 hour, 10 minutes, 17 seconds",WAV,The Chicago History Museum,English,,1963-04-25,1963.0,4.0,25.0,True,mp3/40501.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/40501.mp3
x,2021-04-27,3,/programs/interviewing-sun-times-editorial-cartoonist-jacob-burck,Interviewing Sun-Times editorial cartoonist Jacob Burck,https://wfmt-studs-terkel.s3.amazonaws.com/published/41571.mp3,,"Apr. 27, 1959",1 sound tape reel (ca. 40 min.) : 10 1/2 in.,"40 minutes, 45 seconds",WAV,The Chicago History Museum,English,,1959-04-27,1959.0,4.0,27.0,True,mp3/41571.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/41571.mp3
x,2021-05-07,6,/programs/interviewing-marcel-marceau-paris-while-studs-was-france-part-1,Interviewing Marcel Marceau in Paris while Studs was in France ; part 1,https://wfmt-studs-terkel.s3.amazonaws.com/published/41795.mp3,,"May. 7, 1960",2 sound tape reels (ca. 54 min.) : 7 in.,"30 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1960-05-07,1960.0,5.0,7.0,True,mp3/41795.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/41795.mp3
x,2021-05-08,7,/programs/interviewing-marcel-marceau-paris-while-studs-was-france-part-2,Interviewing Marcel Marceau in Paris while Studs was in France ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published/41799.mp3,,"May. 7, 1960",2 sound tape reels (ca. 54 min.) : 7 in.,"27 minutes, 14 seconds",,The Chicago History Museum,,,1960-05-07,1960.0,5.0,7.0,True,mp3/41799.mp3,https://studs-terkel-radio-archive-feed.s3.amazonaws.com/mp3/41799.mp3
