title,mp3_url,archive_url,synopsis,broadcast_date,physical_format,duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url
Interviewing Dr. Jacob Bronowski at AAAS Convention,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F49929.mp3,/programs/interviewing-dr-jacob-bronowski-aaas-convention,,"Jan. 1, 1971",1 sound tape reel (ca. 59 min.) : 10 1/2 in.,"1 hour, 1 second",WAV,The Chicago History Museum,English,,1971-01-01,1971.0,1.0,1.0,True
"Discussing Israel and the Palestine Liberation Organization (PLO) with Professor of Arabic literature and General in the Israeli Army Reserve, Matityahu Peled",https://wfmt-studs-terkel.s3.amazonaws.com/published/37391.mp3,/programs/discussing-israel-and-palestine-liberation-organization-plo-professor-arabic-literature,,"Jan. 1, 1977",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"33 minutes, 22 seconds",WAV,The Chicago History Museum,English,,1977-01-01,1977.0,1.0,1.0,True
"Discussing the book ""Black Odyssey: the Afro-American Ordeal in Slavery"" with author, historian Nathan I. Huggins",,/programs/discussing-book-black-odyssey-afro-american-ordeal-slavery-author-historian-nathan-i,,"Jan. 1, 1978",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 31 seconds",WAV,The Chicago History Museum,English,,1978-01-01,1978.0,1.0,1.0,False
"Charles LeBaron discusses his book ""Gentle Vengeance""",https://s3.amazonaws.com/wfmt-studs-terkel/published/10384.mp3,/programs/charles-lebaron-discusses-his-book-gentle-vengeance,"Discussing the book ""Gentle Vengeance"" with the author Charles LeBaron. LeBaron discusses his life attending Harvard Medical School, doctors, and healthcare.","Jan. 1, 1981",1 sound tape reel (ca. 53.11 min.) : 10 1/2 in.,"53 minutes, 20 seconds",WAV,The Chicago History Museum,English,,1981-01-01,1981.0,1.0,1.0,True
Interview with Steve Hawkins,,/programs/interview-steve-hawkins,Vietnam Veterans Against the War. Music is Take The Star of of he Window from Atlantic SD7240,"Jan. 2, 1973",1 sound tape reel (ca. 52.15 min.) : 10 1/2 in.,"52 minutes, 26 seconds",WAV,The Chicago History Museum,English,,1973-01-02,1973.0,1.0,2.0,False
"Discussing the book ""Marketplace Medicine: The Rise of the For-Profit Hospital Chains"" with author, journalist David Lindorff",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32549.mp3,/programs/discussing-book-marketplace-medicine-rise-profit-hospital-chains-author-journalist-david,,"Jan. 2, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 19 seconds",WAV,The Chicago History Museum,English,,1992-01-02,1992.0,1.0,2.0,True
Misch Kohn talks about his artistic career as a printmaker and painter,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56766.mp3,/programs/misch-kohn-talks-about-his-artistic-career-printmaker-and-painter,"Misch Kohn (from the state of Indiana, son of Russian immigrants)  talks about his upcoming exhibition that traveled all around the country in which artwork such as ""Season in hell"", ""My Grandfather's Mustache"", ""General"", ""Three Generals"" among others. Talks about his creative process and what is the outlook of the state of visual arts.","Jan. 3, 1961",1 sound tape reel (ca. 40.17 min.) : 7 in.,"41 minutes, 51 seconds",WAV,The Chicago History Museum,English,,1961-01-03,1961.0,1.0,3.0,True
Gwendolyn Brooks discusses her poetry,https://wfmt-studs-terkel.s3.amazonaws.com/published/33494.mp3,/programs/gwendolyn-brooks-discusses-her-poetry,"Gwendolyn Brooks, Poet Laureate of Illinois, talks about her poetry, her books, and some of her influences.","Jan. 3, 1961","1 sound tape reel (ca. 52.30 min.) : 10 1/2 in. Original program-T2102A., 1 sound tape reel (ca. 53.15 min.) : 10 1/2 in. Edited copy-T2102B., 1 sound tape reel (ca. 55.13 min.) : 7 in.","21 minutes, 51 seconds",WAV,The Chicago History Museum,English,,1961-01-03,1961.0,1.0,3.0,True
Interviewing Bonnie Dobson,,/programs/interviewing-bonnie-dobson,,"Jan. 3, 1963",1 sound tape reel (ca. 57.57 min.) : 10 1/2 in.,"58 minutes, 2 seconds",WAV,The Chicago History Museum,English,,1963-01-03,1963.0,1.0,3.0,False
Christopher Keene and Gian Carlo Menotti discuss their careers,https://s3.amazonaws.com/wfmt-studs-terkel/published/19812.mp3,/programs/christopher-keene-and-gian-carlo-menotti-discuss-their-careers,"Conductor Christopher Keene and composer Gian-Carlo Menotti discuss how they became aware of each other and meeting to discuss a collaboration. They talk about spending time in Spoleto, Italy for the Festival of Two Worlds, a summer music and opera festival created by Gian Carlo Menotti. The two also discuss creating art in all forms, including music. Music is played to start and to end: ""To This We've Come"" sung by Eileen Farrell from Menotti's opera ""The Consul"" and the allegro from Menotti's ""Piano Concerto"", with Earl Wild as the pianist. Music has been removed from this program for copyright reasons. At the very end is a performance of ""Black Swan"" from Menotti's opera ""The Medium"".","Jan. 3, 1972",1 sound tape reel (ca. 54 min.) : 10 1/2 in.,"35 minutes, 32 seconds",WAV,The Chicago History Museum,English,,1972-01-03,1972.0,1.0,3.0,True
"Discussing ""The Understudy"" and interviewing Elia Kazan",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F23431.mp3,/programs/discussing-understudy-and-interviewing-elia-kazan,"Discussing ""The Understudy : a Novel"" and interviewing Elia Kazan.
","Jan. 3, 1975",1 sound tape reel (ca. 44.46 min.) : 10 1/2 in.,"44 minutes, 52 seconds",WAV,The Chicago History Museum,English,,1975-01-03,1975.0,1.0,3.0,True
David Amram and Steve Goodman discuss folk music,,/programs/david-amram-and-steve-goodman-discuss-folk-music,"David Amram and Steve Goodman, composers and performers of popular music and folk music, discuss writing and creating music together.   Both play and sing two improvised pieces in the studio with Studs.","Jan. 3, 1976",1 sound tape reel (ca. 58 min.) : 10 1/2 in.,"58 minutes, 3 seconds",WAV,The Chicago History Museum,English,,1976-01-03,1976.0,1.0,3.0,False
Interview with Katharina Muther and Kucha Brownlee,,/programs/interview-katharina-muther-and-kucha-brownlee,,"Jan. 3, 1997",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"50 minutes, 17 seconds",WAV,The Chicago History Museum,English,,1997-01-03,1997.0,1.0,3.0,False
Interviewing Louise Pliss,https://wfmt-studs-terkel.s3.amazonaws.com/published/42448.mp3,/programs/interviewing-louise-pliss,,"Jan. 4, 1963",1 sound tape reel (ca. 35 min.) : 10 1/2 in.,"35 minutes, 18 seconds",WAV,The Chicago History Museum,English,,1963-01-04,1963.0,1.0,4.0,True
Tribute to musician Carl Turner.,,/programs/tribute-musician-carl-turner,Tribute to Carl Turner,"Jan. 4, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"57 minutes, 45 seconds",WAV,The Chicago History Museum,English,,1988-01-04,1988.0,1.0,4.0,False
Interviewing Soviet poet and musician Sasha Karpenko and author Larry Heinemann.,,/programs/interviewing-soviet-poet-and-musician-sasha-karpenko-and-author-larry-heinemann,,"Jan. 4, 1990",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 30 seconds",WAV,The Chicago History Museum,English,,1990-01-04,1990.0,1.0,4.0,False
Discussing her father Carl Sandburg with poet Helga Sandburg,,/programs/discussing-her-father-carl-sandburg-poet-helga-sandburg,"Discussing her father Carl Sandburg with poet Helga Sandburg.
","Jan. 5, 1977",1 sound tape reel (ca. 53.21 min.) : 10 1/2 in.,"53 minutes, 29 seconds",WAV,The Chicago History Museum,English,,1977-01-05,1977.0,1.0,5.0,False
Interviewing Jesuit prison lawyer Bill Cunningham,https://wfmt-studs-terkel.s3.amazonaws.com/published/49897.mp3,/programs/interviewing-jesuit-prison-lawyer-bill-cunningham,,"Jan. 5, 1979",1 sound tape reel (ca. 29.15 min.) : 10 1/2 in.,"29 minutes, 25 seconds",WAV,The Chicago History Museum,English,,1979-01-05,1979.0,1.0,5.0,True
Terkel interviews Jim Beebe and presents trombone music,https://s3.amazonaws.com/wfmt-studs-terkel/published/19517.mp3,/programs/terkel-interviews-jim-beebe-and-presents-trombone-music,Presenting trombone music and interviewing trombone player Jim Beebe.,"Jan. 5, 1983",1 sound tape reel (ca. 58.14 min.) : 10 1/2 in.,"27 minutes, 20 seconds",WAV,The Chicago History Museum,English,,1983-01-05,1983.0,1.0,5.0,True
Harry Belafonte discusses jazz and folk music ; part 1,https://wfmt-studs-terkel.s3.amazonaws.com/published/56253.mp3,/programs/harry-belafonte-discusses-jazz-and-folk-music-part-1,Singer Harry Belafonte discusses Black music including spirituals and jazz and how it has contributed to American culture.,"Jan. 6, 1955",2 sound tape reels (120 min.) : 10 1/2 in.,"34 minutes, 22 seconds",WAV,The Chicago History Museum,,,1955-01-06,1955.0,1.0,6.0,True
Harry Belafonte discusses jazz and folk music ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published/59841.mp3,/programs/harry-belafonte-discusses-jazz-and-folk-music-part-2,"The conversation continues with Belafonte talking about   his album, ""Belafonte Sings of the Caribbean"". The songs, explained Belafonte, were both reflections of his childhood and things he was exposed to as an adult.  Belafonte believed both  Louis Armstrong and Jack Teagarden played important roles in jazz music.","Jan. 6, 1955",2 sound tape reels (120 min.) : 10 1/2 in.,"29 minutes, 37 seconds",WAV,The Chicago History Museum,English,,1955-01-06,1955.0,1.0,6.0,True
Dudley Moore discusses his background and influences,https://wfmt-studs-terkel.s3.amazonaws.com/published/56276.mp3,/programs/dudley-moore-discusses-his-background-and-influences,"When he was a child, Dudley Moore first wanted to  study the violin. He's grateful to his mother for insisting that he first study the piano. Moore said his influences include Bach and Garner. Unlike other musicians, Moore's main focus has always been on the beat, both the cultivation and the presence of the beat of a song and of music.","Jan. 6, 1963",1 sound tape reel (ca. 47 min.) : 10 1/2 in.,"41 minutes, 3 seconds",WAV,,English,,1963-01-06,1963.0,1.0,6.0,True
"Robert Jay Lifton discusses his book ""Living and Dying""",,/programs/robert-jay-lifton-discusses-his-book-living-and-dying,"With his book, ""Living and Dying,"" Robert Jay Lifton, said the point he wanted to make clear is that individuals have to confront death in order to live well. Lifton also talks about deniers of death and their numbing feelings. Social change with regards to death, explained Lifton, will need to occur.","Jan. 6, 1975",1 sound tape reel (ca. 53.46 min.) : 10 1/2 in.,"54 minutes, 1 second",WAV,The Chicago History Museum,English,,1975-01-06,1975.0,1.0,6.0,False
"Buzz Hirsch discusses the film ""Silkwood""",,/programs/buzz-hirsch-discusses-film-silkwood,"Discussing the film ""Silkwood"" a movie about Karen Silkwood and the circumstances surrounding her death with movie producer Buzz Hirsch.
","Jan. 6, 1983",1 sound tape reel (ca. 44.23 min.) : 10 1/2 in.,"44 minutes, 32 seconds",WAV,The Chicago History Museum,English,,1983-01-06,1983.0,1.0,6.0,False
Interviewing composer and organist John Weaver,,/programs/interviewing-composer-and-organist-john-weaver,,"Jan. 6, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1989-01-06,1989.0,1.0,6.0,False
"Discussing the book ""Children of Cain: Violence and the Violent in Latin America"" with author, journalist Tina Rosenberg",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38058.mp3,/programs/discussing-book-children-cain-violence-and-violent-latin-america-author-journalist-tina,,"Jan. 6, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 44 seconds",WAV,The Chicago History Museum,English,,1991-01-06,1991.0,1.0,6.0,True
"Discussing the book ""Understanding Health Care Reform"" with the author, Yale University Professor of Public Policy Management and Political Science Theodore Marmor",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F38598.mp3,/programs/discussing-book-understanding-health-care-reform-author-yale-university-professor-public,,"Jan. 6, 1995",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 40 seconds",WAV,The Chicago History Museum,English,,1995-01-06,1995.0,1.0,6.0,True
Peter Ustinov discusses his career in the arts,https://s3.amazonaws.com/wfmt-studs-terkel/published/13988.mp3,/programs/peter-ustinov-discusses-his-career-arts,"Peter Ustinov discusses his wide-ranging career in the arts as an actor, author, director, and dramatist.","Jan. 7, 1959",1 sound tape reel (ca. 60 min.) : 7 in.,"41 minutes, 46 seconds",WAV,The Chicago History Museum,English,,1959-01-07,1959.0,1.0,7.0,True
Tribute to Bill Leonard on WFMT,,/programs/tribute-bill-leonard-wfmt,Tribute to Bill Leonard,"Jan. 7, 1977",1 sound tape reel (ca. 52.13 min.) : 10 1/2 in.,"52 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1977-01-07,1977.0,1.0,7.0,False
Presenting music by composer and improvisational pianist William Allaudin Mathieu,,/programs/presenting-music-composer-and-improvisational-pianist-william-allaudin-mathieu,Terkel comments and presents a musical performance by Bill Mathieu,"Jan. 7, 1983",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 9 seconds",WAV,The Chicago History Museum,English,,1983-01-07,1983.0,1.0,7.0,False
"Paul Cowan discusses his book ""An Orphan in History""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F55812.mp3,/programs/paul-cowan-discusses-his-book-orphan-history,"Discussing the book ""An orphan in history: retrieving a Jewish legacy"" with the author Paul Cowan.
","Jan. 7, 1983",1 sound tape reel (ca. 53.28 min.) : 10 1/2 in.,"53 minutes, 30 seconds",WAV,The Chicago History Museum,English,,1983-01-07,1983.0,1.0,7.0,True
"Discussing the book ""The Joy of Reading: 210 Favorite Books, Plays, Poems, Essays, Etc.: What's in Them, Why Read Them"" with the author and editor Charles Van Doren",,/programs/discussing-book-joy-reading-210-favorite-books-plays-poems-essays-etc-whats-them-why-read,,"Jan. 7, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"56 minutes, 6 seconds",WAV,The Chicago History Museum,English,,1986-01-07,1986.0,1.0,7.0,False
"Discussing Northlight Theatre's production of ""Uncommon Ground,"" with Jeremy Lawrence and Donald Moffat",,/programs/discussing-northlight-theatres-production-uncommon-ground-jeremy-lawrence-and-donald,,"Jan. 7, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,,WAV,The Chicago History Museum,English,,1991-01-07,1991.0,1.0,7.0,False
Presenting a performance of the Lyric Opera of Chicago with Sherrill Milnes,,/programs/presenting-performance-lyric-opera-chicago-sherrill-milnes-0,Terkel comments and presents a Lyric Opera performance,"Jan. 7, 1993",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,5 seconds,WAV,The Chicago History Museum,English,,1993-01-07,1993.0,1.0,7.0,False
"Margaret Atwood discusses her novel ""Alias Grace""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F34510.mp3,/programs/margaret-atwood-discusses-her-novel-alias-grace,,"Jan. 7, 1997",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"49 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1997-01-07,1997.0,1.0,7.0,True
Economist Robert Theobald discusses his ideas for a better world,https://s3.amazonaws.com/wfmt-studs-terkel/published/12810.mp3,/programs/economist-robert-theobald-discusses-his-ideas-better-world,"Poor people, politicians, guaranteed basic income and power are all among the topics that Robert Theobald covers to achieve a better world for mankind. Using the media better to sway the public's opinion, so that the politicians will vote in the masses' interests are all apart of Theobald's plan, too.","Jan. 8, 1968",1 sound tape reel (ca. 60 min.) : 7 in.,"49 minutes, 16 seconds",WAV,The Chicago History Museum,English,,1968-01-08,1968.0,1.0,8.0,True
"Discussing the book ""The drive for power"" and interviewing the author Arnold A. Hutschnecker",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F49940.mp3,/programs/discussing-book-drive-power-and-interviewing-author-arnold-hutschnecker,,"Jan. 8, 1975",1 sound tape reel (ca. 54.31 min.) : 10 1/2 in.,"54 minutes, 58 seconds",WAV,The Chicago History Museum,English,,1975-01-08,1975.0,1.0,8.0,True
"Philip Anglin, Ken Ruta and Penny Fuller discuss their roles in ""The Elephant Man""",https://wfmt-studs-terkel.s3.amazonaws.com/published/55613.mp3,/programs/philip-anglin-ken-ruta-and-penny-fuller-discuss-their-roles-elephant-man,"Cast members Philip Anglin, Ken Ruta and Penny Fuller talk about their roles as John Merrick, Mr. Treves and Mrs. Kendal, respectively. They also talk about having great appreciation for their roles and being able to see audience's reactions to their performances.","Jan. 8, 1980",1 sound tape reel (ca. 40.06 min.) : 10 1/2 in.,"40 minutes, 14 seconds",WAV,The Chicago History Museum,English,,1980-01-08,1980.0,1.0,8.0,True
Interviewing Scottish songwriter Adam McNaughton,,/programs/interviewing-scottish-songwriter-adam-mcnaughton,,"Jan. 8, 1982",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1982-01-08,1982.0,1.0,8.0,False
"Discussing the books ""Hannibal's Footsteps,"" ""The Way We Live Now,""  and ""Enthusiasms"" with the author and journalist Bernard Levin",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32544.mp3,/programs/discussing-books-hannibals-footsteps-way-we-live-now-and-enthusiasms-author-and-journalist,,"Jan. 8, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1986-01-08,1986.0,1.0,8.0,True
Presenting a performance of the Lyric Opera of Chicago with Sherrill Milnes,,/programs/presenting-performance-lyric-opera-chicago-sherrill-milnes,Terkel comments and presents a Lyric Opera performance,"Jan. 8, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1988-01-08,1988.0,1.0,8.0,False
Interviewing Thomas Melone,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40484.mp3,/programs/interviewing-thomas-melone,,"Jan. 9, 1964",1 sound tape reel (ca. 44.20 min.) : 10 1/2 in.,"44 minutes, 34 seconds",WAV,The Chicago History Museum,English,,1964-01-09,1964.0,1.0,9.0,True
Social workers discuss international youth welfare ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F47877.mp3,/programs/social-workers-discuss-international-youth-welfare-part-2,"Social workers discuss their work in youth welfare in various parts of the world including India, Germany, Peru, and Malaysia.","Jan. 9, 1965","2 sound tape reels (ca. 92 min.) : 10 1/2 in. ; Part I is on a 10.5"" reel, Part II is on a 7"" reel.","53 minutes, 4 seconds",WAV,The Chicago History Museum,English,,1965-01-09,1965.0,1.0,9.0,True
Social workers discuss international youth welfare ; part 1,https://s3.amazonaws.com/wfmt-studs-terkel/published/13472.mp3,/programs/social-workers-discuss-international-youth-welfare-part-1,"Social workers discuss their work in youth welfare in various parts of the world including India, Germany, Peru, and Malaysia.","Jan. 9, 1965","2 sound tape reels (ca. 92 min.) : 10 1/2 in. ; Part I is on a 10.5"" reel, Part II is on a 7"" reel.",1 second,WAV,The Chicago History Museum,English,,1965-01-09,1965.0,1.0,9.0,True
Studs Terkel and William (Bill) Leonard discuss their favorite memories of Frank Holzfeind and the Blue Note Jazz Club in Chicago,https://s3.amazonaws.com/wfmt-studs-terkel/published/19840.mp3,/programs/studs-terkel-and-william-bill-leonard-discuss-their-favorite-memories-frank-holzfeind-and,"Studs Terkel and William (Bill) Leonard share memories of the Blue Note Jazz Club as a tribute to Frank Holzfeind. Music is played throughout the episode: ""After You've Gone"" by the Benny Goodman Sextet, ""The Flat Feet Floogie"" by Slim and Slam, ""How High the Moon"" by Sarah Vaughan, ""Destination K.C."" by Count Basie, ""West End Blues"" by Louis Armstrong, ""Lil' Augie Is A Natural One Man"" by Chet Roble, and ""Rock Skippin' at the Blue Note"", Duke Ellington. Songs have been removed for copyright reasons.","Jan. 9, 1975",1 sound tape reel (ca. 52.08 min.) : 10 1/2 in.,"29 minutes, 40 seconds",WAV,The Chicago History Museum,English,,1975-01-09,1975.0,1.0,9.0,True
Helene Rosenberg discusses the career of Yves Montand ; part 1,,/programs/helene-rosenberg-discusses-career-yves-montand-part-1,"Terkel discusses French singer-actor Yves Montand with guide and commentator Helene Rosenberg; music played throughout the program, part 1.","Jan. 9, 1978","1 sound tape reel (ca. 51.42 min.) : 10 1/2 in. Edited copy, 1991 Nov. 14-T3224.04.","52 minutes, 12 seconds",WAV,The Chicago History Museum,English,,1978-01-09,1978.0,1.0,9.0,False
Helene Rosenberg discusses the career of Yves Montand ; part 2,,/programs/helene-rosenberg-discusses-career-yves-montand-part-2,,"Jan. 9, 1978",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 2 seconds",WAV,The Chicago History Museum,English,,1978-01-09,1978.0,1.0,9.0,False
"Discussing the documentary film ""Shoah,"" with the director Claude Lanzmann",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32660.mp3,/programs/discussing-documentary-film-shoah-director-claude-lanzmann,"In making this film, Lanzmann interviewed death-camp survivors and Nazi functionaries.","Jan. 9, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1986-01-09,1986.0,1.0,9.0,True
"Paul Boyer discusses his book ""By the Bomb's Early Light""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F58225.mp3,/programs/paul-boyer-discusses-his-book-bombs-early-light,"In the book, ""By the Bomb's Early Light: American Thought and Culture at the Dawn of the Atomic Age,"" Paul Boyer covers people's feelings and attitudes after the bomb was dropped in Hiroshima. Boyer admits he, himself, when he was a young boy, he sent away for a free atomic ring that was being advertised. The program includes an excerpt of David Lilienthal talking.","Jan. 9, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1986-01-09,1986.0,1.0,9.0,True
Interview with Father Jim Barnett and Dr. Ron Sable,,/programs/interview-father-jim-barnett-and-dr-ron-sable,Discussing El Salvador with Father Jim Barnett and Dr. Ron Sable.,"Jan. 9, 1990",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 54 seconds",WAV,The Chicago History Museum,English,,1990-01-09,1990.0,1.0,9.0,False
Ursula Oppens discusses her career and contemporary piano music,https://s3.amazonaws.com/wfmt-studs-terkel/published/14104.mp3,/programs/ursula-oppens-discusses-her-career-and-contemporary-piano-music,Ursula Oppens and Studs discuss contemporary avant-garde piano. Oppens performs pieces from contemporary composers.,"Jan. 9, 1994",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"40 minutes, 42 seconds",WAV,The Chicago History Museum,English,,1994-01-09,1994.0,1.0,9.0,True
Eric Bentley in conversation with Studs Terkel,,/programs/eric-bentley-conversation-studs-terkel,,"Jan. 10, 1973",1 sound tape reel (ca. 64 min.) : 10 1/2 in.,"59 minutes, 55 seconds",WAV,The Chicago History Museum,English,,1973-01-10,1973.0,1.0,10.0,False
